id,question,optionA,optionB,optionC,optionD,answer,source,fact
9-572,As you look deeper into a Marbel you can see,the future,minut defects,colors,the other side,B,additional/train-00000-of-00001.csv,"as the size of an object appears larger , that object will be observed better"
8-72,What happens when mercury is placed in water?,it dissolves,it sinks,it floats,it hardens,B,additional/train-00000-of-00001.csv,a body of water is a source of water
7-235,"In the desert, a hawk may enjoy an occasional",coyote,reptile,bat,scorpion,B,additional/train-00000-of-00001.csv,hawks eat lizards
7-1167,A magnet will stick to,a belt buckle,a wooden table,a plastic cup,a paper plate,A,additional/train-00000-of-00001.csv,a magnet attracts magnetic metals through magnetism
1834,Shorter periods of daylight happen,October to December,November to March,December to April,December to March,D,additional/train-00000-of-00001.csv,the amount of daylight is least in the winter
9-872,"A person is lost in a dense forest, and needs to find their home. They know their home is to the south, and they are headed north. They can find home by using a",northern-directing device,northern light reader,northeastern winds,north central credit,A,additional/train-00000-of-00001.csv,a compass is a kind of tool for determining direction by pointing north
116,Where are you likely to find a nonrenewable resource?,a forest,a dam,a mine,a solar panel,C,additional/train-00000-of-00001.csv,natural gas is a nonrenewable resource
8-81,"A man is searching for his dog in the woods and brings a flashlight. The flashlight has two large batteries in it, which",provide light due to wiring,provide light through plastic,use light to heat the flashlight,provide light due to moisture,A,additional/train-00000-of-00001.csv,a flashlight converts chemical energy into light energy
9-404,the summer solstice is on June 21st in the,in the south pacific,upper portion of earth,lower portion of earth,the equator near the tropics,B,additional/train-00000-of-00001.csv,the summer solstice is on June 21st in the northern hemisphere
8-310,"A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, because",the owl is invisible,the mouse is oblivious,the mouse is blind,the owl matches its background,D,additional/train-00000-of-00001.csv,camouflage is used for hiding by animals from predators
1380,You would use a seismometer if,A mysterious rumble off the coast of Japan,Someone farted in class,Kids were stomping on the floor,to track the buzz of a bee,A,additional/train-00000-of-00001.csv,a seismometer is used to measure the strength or magnitude of an earthquake
7-1133,Many animals that give birth to live young have,gills,scales,exoskeletons,legs,D,additional/train-00000-of-00001.csv,mammals give birth to live young
9-295,A child will only grow if they are provided with,a bed,education,inspiration,energy,D,additional/train-00000-of-00001.csv,an organism requires energy for growth
9-512,"Every twenty-four hours and fifty minutes, the moon can have an effect on bodies of water causing them to",swell,float,die,burn,A,additional/train-00000-of-00001.csv,high tide is a stage in the tide cycle process
7-1065,The many trees on a forest floor,are unable to decay,are able to regrow themselves,are broken down for good,"broke, passed, will decay",D,additional/train-00000-of-00001.csv,if a tree falls then that tree is dead
9-122,"A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high winds",flip the car over,help the car go faster,conflict with the driver's goal,move the car sideways,C,additional/train-00000-of-00001.csv,a force acting on an object in the opposite direction that the object is moving can cause that object 's speed to decrease in a forward motion
8-78,"a student leaves a nail line on a mineral sample, so that mineral can be described as what?",a mineral,a soft mineral,a liquid mineral,a mineral melt,B,additional/train-00000-of-00001.csv,if a mineral can be scratched by a fingernail then that mineral is soft
7-749,"An example of a chemical change is acid breaking down substances, another is",flour added to salt,milk added to water,corn added to soup,lemon juice added to milk,D,additional/train-00000-of-00001.csv,An example of a chemical change is acid breaking down substances
453,Matter in the gas phase has,fluctuating volume,turned up volume,turned down volume,steady volume,A,additional/train-00000-of-00001.csv,Matter in the gas phase has variable volume
9-439,an example of an excellent earth mover is,cat,dog,annelids,fish,C,additional/train-00000-of-00001.csv,earthworms create tunnels in soil
21,Which animal gives birth to live young?,Shark,Turtle,Giraffe,Spider,C,additional/train-00000-of-00001.csv,mammals give birth to live young
9-938,"As a plant's roots get bigger, they split apart",worms,water,granite,atoms,C,additional/train-00000-of-00001.csv,a plant 's roots slowly break down rocks as the roots grow
1695,"In the wilderness, light pollution is?",less,stronger,brighter,more widespread,A,additional/train-00000-of-00001.csv,"as distance to a city decreases , the amount of light pollution will increase"
9-1171,Water vapor is an example of what?,moistness,warmth,heat,coldness,A,additional/train-00000-of-00001.csv,An example of moisture is water vapor in the atmosphere
9-1070,Heat and moisture in the ocean is a good recipe for,a violent storm,violent sea animals,condensation,inland storms,A,additional/train-00000-of-00001.csv,an ocean is a source of heat and moisture for a hurricane
9-650,"if the boiling point of water is attained, what ensues beyond this point?",the water turns evaporates rapidly,the water then solidifies,the water becomes black,all of these,A,additional/train-00000-of-00001.csv,steam is a kind of water above 100 degrees celsius
384,What is the most likely to be an effect of acid rain on an aquatic environment?,decrease in plant life,increase in fish population,increase in plant growth,cleaner and clearer water,A,additional/train-00000-of-00001.csv,acid rain has a negative impact on water quality
1261,When the moon is full is has a different,size,weight,distance,appearance,D,additional/train-00000-of-00001.csv,the phases of the Moon change the appearance of the Moon
9-1051,What happens when a hemisphere is tilted away from the sun?,cools,nothing,heats,warms,A,additional/train-00000-of-00001.csv,winter is when a hemisphere is tilted away from the sun
1320,One renewable fuel source is,vegetable oil,coal,fossil fuel,petroleum fuel,A,additional/train-00000-of-00001.csv,alternative fuel is usually a renewable resource
9-676,I can use electrical energy to,Run a mile,Swim,bake a bagel,Rock climb,C,additional/train-00000-of-00001.csv,a doorbell converts electrical energy into sound
9-128,On the list of a flower's goals would be to,produce carbon dioxide,deroot and die,produce offspring,remain sterile,C,additional/train-00000-of-00001.csv,a flower 's purpose is to produce seeds
9-644,"A person wants to buy some reusable equipment for the kitchen, so they get",paper plates,ceramic plates,solo cups,plastic forks,B,additional/train-00000-of-00001.csv,something reusable can be used more than once
7-342,The only stage of the water cycle process that is nonexistent is,evaporation,evaluation,precipitation,condensation,B,additional/train-00000-of-00001.csv,evaporation is a stage in the water cycle process
8-73,which of these would more likely survive?,"a lost dog by the river, with small rodents",a cat left in the desert,a man drifting a raft at sea without supplies,none of these,A,additional/train-00000-of-00001.csv,the ability to access resources has a positive impact on an organism 's survival
7-30,The moon's surface,is smooth on the entire surface,contains large cavities cause by explosions,contains an internal core of cheese,is filled with lakes,B,additional/train-00000-of-00001.csv,the moon 's surface contains many craters
1310,Greenhouses,trap the dangerous gases released by plants,protect plants from snow and frost,keep plants from getting warm,protect plants from mild weather,B,additional/train-00000-of-00001.csv,a greenhouse is used to protect plants from the cold
1157,Earth rotating causes,the cycling of AM and PM,the creation of volcanic eruptions,the cycling of the tides,the creation of gravity,A,additional/train-00000-of-00001.csv,a planet rotating causes cycles of day and night on that planet
9-672,which one of these can help a person cook their food?,a stack of clothes,a stack of cans,a pack of cigarettes,a counter cooker appliance,D,additional/train-00000-of-00001.csv,a stove generates heat for cooking usually
8-203,Sunlight produces heat that causes,dogs to bark,stones to form,warmth on bodies,plastic to form,C,additional/train-00000-of-00001.csv,sunlight produces heat
8-37,with which could you tell the exact size of an object?,a plain stick with irregular shape,a plastic tape with graduated markings,a thermometer with mercury in it,a metal cooking spoon,B,additional/train-00000-of-00001.csv,a tape measure is used to measure length
1875,Which would be the result of the breeding of two wolves?,kittens,wolf pups,fox pups,dog pups,B,additional/train-00000-of-00001.csv,reproduction produces offspring
7-678,Scales,measure how much belly fat the user has,measure height of the user,help users know if they need to drop some lbs.,help users determine their blood sugar levels,C,additional/train-00000-of-00001.csv,a scale is used for measuring weight
7-156,"When producers create food in an ecosystem, a portion of the nutrients are",carbs,energy,grass,flowers,A,additional/train-00000-of-00001.csv,a producer is a source of sugar in an ecosystem
9-441,Two ships grazing each other as they pass will,cause mayhem,sink them,speed them up,slow them down,D,additional/train-00000-of-00001.csv,friction acts to counter the motion of two objects when their surfaces are touching
278,A battery converts chemical energy into,energy stored due to the relative positions of charged particles or electric fields,energy stored due to the bombardment of particles,energy stored between the cells of nonadjacent particles,energy that is broken down in particles,A,additional/train-00000-of-00001.csv,a battery converts chemical energy into electrical energy
9-373,The leaves of a plant benefit from?,dog,sun,human,dust,B,additional/train-00000-of-00001.csv,chlorophyll is used for absorbing light energy by plants
7-16,Quartz may produce rainbows when light is shined,around the crystal's area,through any of its sides,in the room its in,in to a mirror at it,B,additional/train-00000-of-00001.csv,a quartz is made of six-sided transparent crystals
8-264,"A woman is digging under a tree on a tall mountain. She is looking for interesting rocks, and a foot down into the soil, discovers a fossilized fish skeleton. From this discovery, the woman is able to determine that",the mountain used to be underwater,some bears in mountains eat fish,some fish can climb mountains,sometimes rain can move fish to high spaces,A,additional/train-00000-of-00001.csv,if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past
814,Which animal lacks the ability to see by sensing light?,Southern cave crayfish,lobster,cod,salmon,A,additional/train-00000-of-00001.csv,eyes are used for seeing by animals by sensing light
9-1116,Which animal emits something that many autistic people would be extra sensitive to?,cow,dog,cat,skunk,D,additional/train-00000-of-00001.csv,a skunk produces a bad odor
9-218,which of these usually occur over the shortest period?,a super size earthquake,a torrential rain fall,all of these,the eruption of a volcano,A,additional/train-00000-of-00001.csv,an earthquake usually occurs over a period of 10 to 30 seconds
9-200,If the sun has set it is,easy to cook a meal,time to eat breakfast,necessary to wear a coat,harder to see outside,D,additional/train-00000-of-00001.csv,if it is night then the sun has set
7-282,A magnifying glass,would allow the user to better view the legs on an ant,would enhance the smell of a viewed specimen,would blur the legs of an ant,would enhance the feel of the user,A,additional/train-00000-of-00001.csv,magnifying glass is used to see small things by making objects appear bigger
9-207,What do rotating vanes on an electric fan do to air?,dampen,circulate,cool,warm,B,additional/train-00000-of-00001.csv,the vanes rotating in an electric fan causes air to move
8-408,An animal would have its inner parts better protected if it had which of these?,a backpack on its back,a calcium fortified internal structure,none of these,a shell of cotton,B,additional/train-00000-of-00001.csv,the skeletal system protects internal organs
1891,Plants require this to grow,fertilizer,cool temperatures,non-organic matter,H2O,D,additional/train-00000-of-00001.csv,a plants require water for to grow
7-969,Renewable resources,often come from fossil fuels,take centuries to biodegrade,can be used ad infinitum,should be used conservatively,C,additional/train-00000-of-00001.csv,renewable resources can be used over again
8-124,a day hiking will most likely result in which of these?,a paling of the skin,a greening of the skin,an even darker tone,none of these,C,additional/train-00000-of-00001.csv,if something is outside during the day then that something will receive sunlight
1288,Refraction,makes objects appear to be twice their size,moves heat energy thru sound waves,is the phenomenon involved in mirrors,makes a straw appear broken when in a cup of water,D,additional/train-00000-of-00001.csv,refraction causes something to look different
9-836,which of these can be considered a stage in the water cycle?,all of these,the combination of nails and hammers,the presence of H20,the combination of chlorine and gas,C,additional/train-00000-of-00001.csv,condensation is a stage in the water cycle process
9-725,Which of these items is required for a deer to live,sun,iron,sand,cafeteria,A,additional/train-00000-of-00001.csv,the sun is the source of energy for life on Earth
9-973,Where is the best place to shoot animals?,national park,sky,forest,sea,C,additional/train-00000-of-00001.csv,national parks limit hunting
7-892,Spiders can catch prey by doing all aside from,building webs,building traps,hunting,howling,D,additional/train-00000-of-00001.csv,a spider web is used to capture food by spiders
112,When does electricity flow through a conductor?,when it's outside around lighting,when it's attached to a battery,when it's attached to a human,when it's near a light bulb,B,additional/train-00000-of-00001.csv,sending electricity through a conductor causes electricity to flow through that conductor
9-608,I can use a stopwatch to track,The number of freckles I have on my back,How long the road is,My weight loss in 6 months,how many marshmallows I can eat in 10 minutes,D,additional/train-00000-of-00001.csv,a stopwatch is used to measure time
306,"If John were going to the store, how would he measure his trip?",kilometer,centimeter,decameter,meter,A,additional/train-00000-of-00001.csv,kilometers km are a unit used for measuring distance generally used for values between 1 and 50000000
9-97,A man plugs his television into an outlet behind a cabinet. He sees that the television may now be turned on so that he can watch his favorite show. The man knows that by hooking the t.v. cord into the outlet,he completed a lap,he made a good deal,he invented new circuits,he completed a circuit,D,additional/train-00000-of-00001.csv,"when an electrical conductor is plugged into an outlet , a circuit is completed"
9-625,Which type of energy is the most environmentally friendly?,Coal,Petroleum,Natural Gas,Sunlight,D,additional/train-00000-of-00001.csv,solar energy is a renewable resource
8-446,Which form can be made into a triangle?,ice,steam,water,salt water,A,additional/train-00000-of-00001.csv,Matter in the solid phase has definite shape
9-451,who would see better through an underground tunnel?,a boy with a pen,a man with a stick,a man with a spoon,a man with a candle and match,D,additional/train-00000-of-00001.csv,a candle is a source of light when it is burned
884,There are now many more people because of,efficient farming,more cities,computers,global warming,A,additional/train-00000-of-00001.csv,the increase of something required by an organism has a positive impact on that organism 's survival
8-267,Water in a sealed jar might do what when placed in the freezer?,evaporate,break it,melt,run off,B,additional/train-00000-of-00001.csv,"when water freezes , that water expands"
1230,What causes a chemical reaction?,mixing and heating edible items,putting water in a bowl,petting a small cat,rolling a ball on a floor,A,additional/train-00000-of-00001.csv,cooking causes a chemical reaction
9-283,What stores food for future use and is green?,bacteria,trout,virus,tree,D,additional/train-00000-of-00001.csv,usually plants store the food they produce for future use
9-1088,Filling a bottle full of water and then placing it in the freezer can lead to,loosening of the bottle lid,deflation of the bottle,ice cubes in the freezer,bursting of the bottle,D,additional/train-00000-of-00001.csv,"when water freezes , that water expands"
9-446,What functions without contact between objects?,weight,friction,opposites attracting,pressure,C,additional/train-00000-of-00001.csv,magnetism does not require contact between objects to act
168,Which doesn't contain water?,Sea of Tranquilitiy,Caspian Sea,Dead Sea,Caribbean Sea,A,additional/train-00000-of-00001.csv,the moon does not contain water
7-6,Fungi,can do their food chain jobs without ingestion,act as predators in the food chain,are always safe to ingest,occupy the top of the food chain,A,additional/train-00000-of-00001.csv,In the food chain process fungi have the role of decomposer
172,"Compared to a regular swimmer, a scuba diver deals with more",heat,pressure,water,air,B,additional/train-00000-of-00001.csv,"as an object descends into water , the pressure on that object will increase"
1442,What is an example of the fact that a thing is dead once it dies after having previously lived?,a small squirrel falls from a tree and breaks its leg,a panda stops eating and falls into a coma,a dog is paralyzed and is unable to move,a vibrant cat is deceased after being hit by a car,D,additional/train-00000-of-00001.csv,if a living thing dies then that living thing is dead
8-212,Thunder clouds are,filled with beautiful music,of a significant weight,the color light pink,take 10 years to form,B,additional/train-00000-of-00001.csv,clouds produce rain
7-145,If someone is experiencing frequent falls,they should move out of their house,they should just stop trying to walk,they should try wearing slicker bottomed shoes,they should try putting down carpet or throw rugs,D,additional/train-00000-of-00001.csv,"as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface"
7-13,It is easiest to get a clear photo of the moon by,using a large magnifying glass,using a telephoto lens,using a telescopic lens,looking through a microscope,C,additional/train-00000-of-00001.csv,"as the size of an object appears larger , that object will be observed better"
7-88,Filling a glass with markers for cup amounts on it would be,seeing how much data is left on a phone,a part of making chili,a way to consider getting something,a way to collect data,D,additional/train-00000-of-00001.csv,An example of collecting data is measuring
9-335,Winter snows follow Autumn's falling leaves by,three months,three days,three years,12 months,A,additional/train-00000-of-00001.csv,a new season occurs once per three months
7-1082,The way that squirrels put away food during the cool season ensures that they,survive,eat,live,grow,A,additional/train-00000-of-00001.csv,squirrels gather nuts in the autumn to eat during the winter
7-898,An example of a consumer would be,a deer munching grass,a plant beginning to photosynthesize,a squirrel eating a bug,a wolf eating a deer,A,additional/train-00000-of-00001.csv,consumers eat other organisms
9-1142,Eating and digesting a large meal is guaranteed to produce,disease,fecal matter,fuel,fertilizer,B,additional/train-00000-of-00001.csv,processes sometimes produce waste products
7-926,"Canyons are generally old, huge, and breathtaking and are",brimming to full with sand,filled with local wildlife,dirty and muddy inside,typically materialized with stone,D,additional/train-00000-of-00001.csv,a canyon is made of rocks
7-721,"If a room is going to be humid, or dry, depends on how much water vapor is in the air, so if a room wants to be humid",run a bath,use a dehumidifier,open a window,hope it rains,A,additional/train-00000-of-00001.csv,humidity is the amount of water vapor in the air
9-180,What impacts an objects ability to reflect light?,color pallete,weights,height,smell,A,additional/train-00000-of-00001.csv,"as lightness in color of an object increases , the ability of that object to reflect light will increase"
9-1013,which of these would make an ideal object to drive in with a hammer?,an iron nail,a metal nail,a steel nail,all of these,D,additional/train-00000-of-00001.csv,iron nails are made of iron
9-601,local plant varieties are the best for improving the local,social status,environs,satellite reception,future,B,additional/train-00000-of-00001.csv,planting native plants has a positive impact on an ecosystem
370,Electricity sent through a conductor,halts the functioning of the conductor,moves like traffic through a green light,causes fire to flow through the conductor,flows heat back to the conductor,B,additional/train-00000-of-00001.csv,sending electricity through a conductor causes electricity to flow through that conductor
9-1077,"The sun is a source of which, first and foremost?",Light,Energy,Heat,Nutrients),A,additional/train-00000-of-00001.csv,the sun is a source of light called sunlight
9-372,Where in the world will a person have the smallest shadow at noon?,the arctic circle,the south pole,the north pole,near the equator,D,additional/train-00000-of-00001.csv,"as a source of light moves directly overhead of an object , the size of the shadow of that object will decrease"
9-1091,Oil is a source of a material used for an object with,wood planks,cardboard,a large stone,wheels,D,additional/train-00000-of-00001.csv,oil is a source of gasoline
8-289,A magnet would attract a,Wooden hairbrush,Oranges,Glassware,Zippers,D,additional/train-00000-of-00001.csv,a magnet attracts ferromagnetic metals through magnetism
9-527,What sort of habitat would living things live in?,A habitat with plenty of water,A habitat with varying weather,A habitat that most animals choose,A habitat with many toys,A,additional/train-00000-of-00001.csv,"when a habitat can support living things , living things can live in that habitat"
9-599,"A person finishes drinking a bottle of water and notices that at the bottom of the bottle is a small symbol, consisting of three arrows in a triangular shape. This symbol tells the person that they should",have it reprocessed,burn the bottle,reuse the bottle,remake the bottle,A,additional/train-00000-of-00001.csv,recyclable means a material can be recycled
7-958,"In order to better understand the world around us, specialists",watch several educational programs,discuss topics with laymen,"inspect, note, and consider",make notes in books,C,additional/train-00000-of-00001.csv,scientists make observations
9-17,"A woman leaves some meat on the counter, and bacteria begins to quickly grow on the surface. This bacteria may cause",turned food,growing beans,sticky toffee,pocked oranges,A,additional/train-00000-of-00001.csv,microorganisms cause food to spoil
9-256,Stars appear in different areas in the sky at different times of year due to what?,Earths Rotation,Changing Weather,Suns Rotation,Time Change,A,additional/train-00000-of-00001.csv,the Earth revolving around the sun causes stars to appear in different areas in the sky at different times of year
826,Corn can sometimes,be grown in arctic environments,be used as kindling,fuel a steam locomotive,fuel an economy car,D,additional/train-00000-of-00001.csv,ethanol sometimes is made of corn
9-831,strumming a string can cause what type of wave?,Tidal,Pressure,Light,Dark,B,additional/train-00000-of-00001.csv,strumming a string can cause that string to vibrate
7-563,Coral is a type of living organism which can be identified in,only in the pacific ocean,saltwater locations that are open,any where with liquid,water sources in america,B,additional/train-00000-of-00001.csv,coral lives in the ocean
7-56,"Having reliable plant sources in a field, a rabbit may react by",having larger litters,finding a mate,eating more food,finding new food,A,additional/train-00000-of-00001.csv,"as the number of sources of food increase in an environment , the population of the organisms will increase in that environment"
9-459,The layer of material on the bottom of the Snake River was put there by what?,fish swimming,weather related degradation,global warming,animal movement,B,additional/train-00000-of-00001.csv,sediment is formed by weathering
723,"Which converts carbon dioxide, water, and solar energy into oxygen?",chrysanthemum,mistletoe,mushroom,mole,A,additional/train-00000-of-00001.csv,"photosynthesis means green plants convert from carbon dioxide, water, and solar energy into oxygen for themselves"
9-841,December is in the summer in what,the southern part of cities,the northern part of Earth,the southern part of the third rock,the southern part of every rock,C,additional/train-00000-of-00001.csv,December is during the summer in the southern hemisphere
7-940,Trembling muscles spasms in animals can be caused in party by,temperature in single digits,temperatures in triple digits,finding the right temperatures,being unaware of the temperature,A,additional/train-00000-of-00001.csv,cool temperatures cause animals to shiver
1386,The number of lines found in a tree bore will tell you?,variety,sturdiness,the age,the height,C,additional/train-00000-of-00001.csv,the number of rings in a tree trunk can be used to estimate the age of the tree
1302,Hummingbirds take what with them,Bees,energy,Pollen,Honey,C,additional/train-00000-of-00001.csv,"when pollen sticks to a hummingbird , that pollen will move to where the hummingbird moves"
7-249,To naturally increase the amount of organic matter in soil add,fungi,sunflowers,trees,voles,A,additional/train-00000-of-00001.csv,decomposition increases amount of organic matter in soil
8-339,Peat is an important factor when,Driving a new car,Putting a fresh raspberry seed in soil,Taking the temperature for the day,Having a large breakfast,B,additional/train-00000-of-00001.csv,being burried under soil and mud changes peat into coal through extreme heat and pressure in a swamp over a long period of time
9-96,"When a bird is living in a certain segment of the world, it can become part of that environment along with predators and food sources, the process being called what?",animals reproduce,preyed upon,adapted to it,predators get it,C,additional/train-00000-of-00001.csv,living in an environment causes an organism to adapt to that environment
1640,Chimpanzees dig for insects with sticks; what is another example of using tools?,birds using twigs to build nests,otters using rocks to open clams,anteaters using their tongue to catch ants,koalas using their pouch to hold infants,B,additional/train-00000-of-00001.csv,An example of using tools is a chimpanzee digging for insects with a stick
7-530,Carbon dioxide exists where it does because,humans expel it,deer eat it,birds use it,trees absorb it,A,additional/train-00000-of-00001.csv,carbon dioxide can be found in the air
1034,What covers over 90% of the Earth's surface and 0% of the moon's surface,a magnesium iron silicate mineral,chemical element with the symbol S,the element with the symbol Fe,that which contains 2 hydrogen and 1 oxygen molecules,D,additional/train-00000-of-00001.csv,the moon does not contain water
753,Why do  berries exist?,reproducing,food for animals,growth,food storage,A,additional/train-00000-of-00001.csv,a berry contains seeds
84,The biggest things on the moon are,space stations,alien life forms,craters,moon rocks,C,additional/train-00000-of-00001.csv,the lunar surface contains many craters
183,Which set of animals don't compete for food?,dolphin and fish,hyena and bear,whale and cat,eagle and raven,C,additional/train-00000-of-00001.csv,if two animals have the same food source then those two animals compete for food
9-1157,will a glacier travel at greater speeds than a sea going vessel?,maybe it moves faster,this is likely to be false,all of these,odds are in its favor,B,additional/train-00000-of-00001.csv,a glacier moves slowly
7-1027,Something that shows that the earth changes is,a city where a tree was,a lake where a tree was,a tree where a bird was,a plant where a rock was,B,additional/train-00000-of-00001.csv,An example of a change in the Earth is an ocean becoming a wooded area
7-1199,"A lot of people think that volcanoes may only exist in tall mountains that tower above us, but a lot of volcanoes",fall into the oceans,are water leaking volcanoes,erupt into the sea,are found and erupt beneath the water,D,additional/train-00000-of-00001.csv,volcanoes are often found under oceans
7-281,A car slowed down because of,bad brakes,the engine size,the wind,the steering wheel,C,additional/train-00000-of-00001.csv,a force acting on an object in the opposite direction that the object is moving can cause that object 's speed to decrease in a forward motion
8-262,"The lights were turned off in a room, who could find the light switch?",Mice,Elephants,Raccoons,Hamsters,C,additional/train-00000-of-00001.csv,raccoons eat waste
8-413,slope is a measure of the difference in elevation from the top to the base of a,penny,tower,pyramid,box,C,additional/train-00000-of-00001.csv,slope is a measure of the difference in elevation between one part of the land and another part of the land
7-568,"In a zoo, a polar bear exhibit will contain",salt,cacti,strong fans,sand,C,additional/train-00000-of-00001.csv,a polar bear requires a cold environment
1167,Precipitation sometimes leads to,mountains,earthquakes,volcanoes,caves,D,additional/train-00000-of-00001.csv,precipitation is when rain fall from clouds to the Earth
9-355,When the scientist finally completed his new invention he thanked his,powers of observation,lucky stars,mother,grandmother,A,additional/train-00000-of-00001.csv,scientists make observations
852,"When the game console's power cable was attached to the wall, electricity ended up in",the plug,the power cable,the wall,the game console,D,additional/train-00000-of-00001.csv,sending electricity through a conductor causes electricity to flow through that conductor
9-695,"Some birds have scooped beaks, but others have sharp beaks such as",peregrine falcons,pelicans,toucans,snakes,A,additional/train-00000-of-00001.csv,sharp beaks are a kind of adaptation for catching prey
7-21,People commonly have bad reactions to what they get from a,discount store,lawyer,catalog,pharmacy,D,additional/train-00000-of-00001.csv,medicine can cause people to have bad reactions
7-406,What happens to body water when animal activity rises,the water decreases,it stays same,the water increases,the water hardens,A,additional/train-00000-of-00001.csv,"as the activity of an animal increases , the amount of water in an animal 's body in that environment will decrease"
7-617,"More carbon dioxide is in the air in the past decade than ever before, probably because",more cattle produced,more plant life,human population increased,less water area,C,additional/train-00000-of-00001.csv,carbon dioxide concentrations in the air have increased over the last decade dramatically
585,What slows down the transfer of heat?,a wooden wall,the wind,the sun,light rays,A,additional/train-00000-of-00001.csv,a thermal insulator slows the transfer of heat
7-948,"Whether a rainstorm, snow, or hail, humanity can find a way to escape it by",restoring old city streets,creating a protected space,building a large community,sheltering all the young,B,additional/train-00000-of-00001.csv,shelter can protect humans from weather
7-340,"In a strong tempest, a large boulder may be",broken,smoothed,sharpened,stained,B,additional/train-00000-of-00001.csv,wind and rain cause erosion
7-344,The way that electrical conductors works in ways such as,sticking a plug into an outlet to power a microwave,turning on a coffee pot in the morning,making sure that a hair dryer is unplugged after use,turning on lights in a room,A,additional/train-00000-of-00001.csv,"when an electrical conductor is plugged into an outlet , a circuit is completed"
7-557,"When wheels are squealing on a blacktop, friction",works against motion,stops motion,removes forward motion,makes things rough,A,additional/train-00000-of-00001.csv,friction acts to counter the motion of two objects when their surfaces are touching
9-1189,Breaking a vase changes its,center of gravity,shape and mass,chemical composition,speed,B,additional/train-00000-of-00001.csv,breaking down an object changes that object 's shape and mass
9-936,"When looking for a good renewable resource in order to avoid wasting anything that will eventually run out, a man decides to use",colored pencils,snow cones,murky river fluid,fresh flounder,C,additional/train-00000-of-00001.csv,a renewable resource can be renewed
7-713,A consequence of polluting could be that,fish become inedible,water tastes gross,papers report it,trash is overflowing,A,additional/train-00000-of-00001.csv,polluting means something poisonous is added to an environment causing harm to the environment
7-1014,the top layer of soil contains the most nutrients where I,hike,wade,jog,skate,A,additional/train-00000-of-00001.csv,the top layer of soil contains the most nutrients
8-242,"A cacti is basically an enormous stem, which means that",it can be drunk from,it is very thin,it holds up bright green leaves,it can hide in grass,A,additional/train-00000-of-00001.csv,a stem is used to store water by some plants
7-588,Without reliable sources of food or water,creatures experience some suffering,animals must make their own,dogs will need to be fed,organisms need to be cared for,A,additional/train-00000-of-00001.csv,loss of resources has a negative impact on the organisms in an area
9-985,An echo is produced by what type of reflection of sound source?,Direct,Distant,Varied,Single,D,additional/train-00000-of-00001.csv,"when a sound is produced inside of a room , there is sometimes an echo after the sound"
9-968,if food has lack of immediate use for energy then it will,be discarded immediately,kept for later,left to rot,be thrown up,B,additional/train-00000-of-00001.csv,if food is not immediately used by the body for energy then that food will be stored for future use
8-275,Puerto Rico experienced many landslides due to Hurricane Maria in,2017,2015,2012,2009,A,additional/train-00000-of-00001.csv,storms can cause a landslide
